,areaType,areaCode,areaName,date,age,newCasesBySpecimenDate,newCasesBySpecimenDateRollingSum,newCasesBySpecimenDateRollingRate
2205181,overview,K02000001,United Kingdom,2020-02-06,55_59,0,0,0.0
2205182,overview,K02000001,United Kingdom,2020-02-06,60_64,0,1,0.0
2205183,overview,K02000001,United Kingdom,2020-02-06,65_69,0,1,0.0
2205184,overview,K02000001,United Kingdom,2020-02-06,70_74,0,0,0.0
2205185,overview,K02000001,United Kingdom,2020-02-06,75_79,0,0,0.0
2205186,overview,K02000001,United Kingdom,2020-02-06,80_84,0,0,0.0
2205187,overview,K02000001,United Kingdom,2020-02-06,85_89,0,0,0.0
2205188,overview,K02000001,United Kingdom,2020-02-06,90+,0,0,0.0
2205189,overview,K02000001,United Kingdom,2020-02-06,unassigned,0,0,
2205190,overview,K02000001,United Kingdom,2020-02-06,60+,0,2,0.0
2205191,overview,K02000001,United Kingdom,2020-02-06,0_59,0,2,0.0
2205192,overview,K02000001,United Kingdom,2020-02-07,0_4,0,0,0.0
2205193,overview,K02000001,United Kingdom,2020-02-07,5_9,0,0,0.0
2205194,overview,K02000001,United Kingdom,2020-02-07,10_14,0,0,0.0
2205195,overview,K02000001,United Kingdom,2020-02-07,15_19,0,0,0.0
2205196,overview,K02000001,United Kingdom,2020-02-07,20_24,0,0,0.0
2205197,overview,K02000001,United Kingdom,2020-02-07,25_29,0,0,0.0
2205198,overview,K02000001,United Kingdom,2020-02-07,30_34,0,1,0.0
2205199,overview,K02000001,United Kingdom,2020-02-07,35_39,0,0,0.0
2205200,overview,K02000001,United Kingdom,2020-02-07,40_44,0,0,0.0
2205201,overview,K02000001,United Kingdom,2020-02-07,45_49,0,0,0.0
2205202,overview,K02000001,United Kingdom,2020-02-07,50_54,0,1,0.0
2205203,overview,K02000001,United Kingdom,2020-02-07,55_59,0,0,0.0
2205204,overview,K02000001,United Kingdom,2020-02-07,60_64,0,0,0.0
2205205,overview,K02000001,United Kingdom,2020-02-07,65_69,0,1,0.0
2205206,overview,K02000001,United Kingdom,2020-02-07,70_74,0,0,0.0
